2025-01-16 18:16:59,793 - DEBUG - matplotlib data path: C:\Users\20181234\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\mpl-data
2025-01-16 18:16:59,811 - DEBUG - CONFIGDIR=C:\Users\20181234\.matplotlib
2025-01-16 18:16:59,826 - DEBUG - interactive is False
2025-01-16 18:16:59,826 - DEBUG - platform is win32
2025-01-16 18:16:59,876 - DEBUG - CACHEDIR=C:\Users\20181234\.matplotlib
2025-01-16 18:16:59,893 - DEBUG - Using fontManager instance from C:\Users\20181234\.matplotlib\fontlist-v390.json
2025-01-16 18:17:00,226 - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2025-01-16 18:17:00,242 - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2025-01-16 18:17:00,242 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-01-16 18:17:00,242 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\20181234\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python311\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-16 18:17:00,242 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\20181234\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python311\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-01-16 18:17:00,242 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\20181234\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python311\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-16 18:17:00,242 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\20181234\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python311\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-16 18:17:00,242 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\20181234\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python311\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-16 18:17:00,242 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\20181234\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python311\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-16 18:17:00,242 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\20181234\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python311\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-16 18:17:00,242 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\20181234\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python311\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-01-16 18:17:00,242 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\20181234\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python311\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-16 18:17:00,242 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\20181234\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python311\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-16 18:17:00,242 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\20181234\\AppData\\Local\\Packages\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\LocalCache\\local-packages\\Python311\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
